FechaHora,TST_Horas,Azimut_Grados,Elevacion_Grados,Amanecer_Horas_Local,PuestaSol_Horas_Local,Mediodia_Horas_Local,Horas_Soleadas
2024-01-01 00:00:00,-0.52,-169.21,-48.26,5.93,19.12,12.52,13.19
2024-01-01 00:15:00,-0.27,-174.37,-48.77,5.93,19.12,12.52,13.19
2024-01-01 00:30:00,-0.02,-179.6,-48.96,5.93,19.12,12.52,13.19
2024-01-01 00:45:00,0.23,-175.16,-48.82,5.93,19.12,12.52,13.19
2024-01-01 01:00:00,0.48,-169.99,-48.36,5.93,19.12,12.52,13.19
2024-01-01 01:15:00,0.73,-164.97,-47.59,5.93,19.12,12.52,13.19
2024-01-01 01:30:00,0.98,-160.16,-46.52,5.93,19.12,12.52,13.19
2024-01-01 01:45:00,1.23,-155.59,-45.17,5.93,19.12,12.52,13.19
2024-01-01 02:00:00,1.48,-151.32,-43.58,5.93,19.12,12.52,13.19
2024-01-01 02:15:00,1.73,-147.33,-41.76,5.93,19.12,12.52,13.19
2024-01-01 02:30:00,1.98,-143.64,-39.74,5.93,19.12,12.52,13.19
2024-01-01 02:45:00,2.23,-140.24,-37.54,5.93,19.12,12.52,13.19
2024-01-01 03:00:00,2.48,-137.11,-35.19,5.93,19.12,12.52,13.19
2024-01-01 03:15:00,2.73,-134.24,-32.69,5.93,19.12,12.52,13.19
2024-01-01 03:30:00,2.98,-131.6,-30.08,5.93,19.12,12.52,13.19
2024-01-01 03:45:00,3.23,-129.18,-27.36,5.93,19.12,12.52,13.19
2024-01-01 04:00:00,3.48,-126.95,-24.56,5.93,19.12,12.52,13.19
2024-01-01 04:15:00,3.73,-124.9,-21.67,5.93,19.12,12.52,13.19
2024-01-01 04:30:00,3.98,-123.01,-18.71,5.93,19.12,12.52,13.19
2024-01-01 04:45:00,4.23,-121.27,-15.69,5.93,19.12,12.52,13.19
2024-01-01 05:00:00,4.48,-119.66,-12.62,5.93,19.12,12.52,13.19
2024-01-01 05:15:00,4.73,-118.16,-9.5,5.93,19.12,12.52,13.19
2024-01-01 05:30:00,4.98,-116.78,-6.33,5.93,19.12,12.52,13.19
2024-01-01 05:45:00,5.23,-115.49,-3.13,5.93,19.12,12.52,13.19
2024-01-01 06:00:00,5.48,-114.29,0.1,5.93,19.12,12.52,13.19
2024-01-01 06:15:00,5.73,-113.18,3.37,5.93,19.12,12.52,13.19
2024-01-01 06:30:00,5.98,-112.15,6.66,5.93,19.12,12.52,13.19
2024-01-01 06:45:00,6.23,-111.18,9.98,5.93,19.12,12.52,13.19
2024-01-01 07:00:00,6.48,-110.29,13.31,5.93,19.12,12.52,13.19
2024-01-01 07:15:00,6.73,-109.46,16.66,5.93,19.12,12.52,13.19
